"annotation_id","annotator","created_at","id","label","lead_time","title","updated_at"
30,"1","2023-08-25T04:43:20.922465Z",592368,"[{""start"":19,""end"":113,""text"":""Сопоставление актуальной информации об инструментальных проверках (по письму от Чертова 31.01)"",""labels"":[""TITLE""]},{""start"":0,""end"":17,""text"":""МРСК ЦиП и Центра"",""labels"":[""PROJECT""]}]",8.283,"МРСК ЦиП и Центра. Сопоставление актуальной информации об инструментальных проверках (по письму от Чертова 31.01)","2023-08-25T04:43:20.922519Z"
31,"1","2023-08-25T04:43:33.957773Z",770418,"[{""start"":19,""end"":127,""text"":""Необходима возможность массовой дозагрузки контента в АРМ Диспетчера при редактировании выполненного задания"",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":14,""end"":18,""text"":""4934"",""labels"":[""ID""]}]",11.822,"[МОЭСК МС] #HD4934 Необходима возможность массовой дозагрузки контента в АРМ Диспетчера при редактировании выполненного задания","2023-08-25T04:43:33.957827Z"
32,"1","2023-08-25T04:43:44.987109Z",662136,"[{""start"":18,""end"":69,""text"":""Отсутствует аббревиатуры филиала в номере документа"",""labels"":[""TITLE""]},{""start"":1,""end"":6,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":11,""end"":17,""text"":""974566"",""labels"":[""ID""]}]",9.234,"[МОЭСК] #HD974566 Отсутствует аббревиатуры филиала в номере документа","2023-08-25T04:43:44.987160Z"
33,"1","2023-08-25T04:44:02.591030Z",680173,"[{""start"":14,""end"":21,""text"":""1283891"",""labels"":[""ID""]},{""start"":22,""end"":91,""text"":""Необходимо в скачанном шаблоне убрать ссылку \\\\pc-083\\Share\\Ивэнерго"",""labels"":[""TITLE""]},{""start"":0,""end"":10,""text"":""МРСК Центр"",""labels"":[""PROJECT""]}]",16.31,"МРСК Центр #HD1283891 Необходимо в скачанном шаблоне убрать ссылку  \\pc-083\Share\Ивэнерго","2023-08-25T04:44:02.591084Z"
34,"1","2023-08-25T04:44:11.762905Z",730888,"[{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":11,""end"":102,""text"":""Замечания по АРМ диспетчеру. Отсутствуют даты подтверждения в разделе \""Подтверждение задач\"""",""labels"":[""TITLE""]}]",7.828,"[МОЭСК МС] Замечания по АРМ диспетчеру. Отсутствуют даты подтверждения в разделе ""Подтверждение задач""","2023-08-25T04:44:11.762962Z"
35,"1","2023-08-25T04:44:22.297982Z",692504,"[{""start"":9,""end"":121,""text"":""Анализ и устранение причины массового сбоя импорта НСИ в случаях возникновения исключительных ситуаций от 1С ЭБ."",""labels"":[""TITLE""]},{""start"":1,""end"":7,""text"":""КСК МС"",""labels"":[""PROJECT""]}]",9.275,"[КСК МС] Анализ и устранение причины массового сбоя импорта НСИ в случаях возникновения исключительных ситуаций от 1С ЭБ.","2023-08-25T04:44:22.298035Z"
36,"1","2023-08-25T04:44:39.736129Z",757579,"[{""start"":23,""end"":45,""text"":""Не удаётся войти в ЛКК"",""labels"":[""TITLE""]},{""start"":1,""end"":12,""text"":""МРСК СевКав"",""labels"":[""PROJECT""]},{""start"":17,""end"":22,""text"":""53969"",""labels"":[""ID""]}]",16.2,"[МРСК СевКав] #HD53969 Не удаётся войти в ЛКК","2023-08-25T04:44:39.736182Z"
37,"1","2023-08-25T04:45:02.780479Z",707950,"[{""start"":20,""end"":61,""text"":""Техническая поддержка. Мониторинг 12.2022"",""labels"":[""PROJECT""]},{""start"":1,""end"":17,""text"":""МРСК ЦиП и Центр"",""labels"":[""TITLE""]}]",21.786,"[МРСК ЦиП и Центр]. Техническая поддержка. Мониторинг 12.2022","2023-08-25T04:45:02.780530Z"
38,"1","2023-08-25T04:45:15.832545Z",557432,"[{""start"":12,""end"":49,""text"":""Убрать возможность удаления маршрутов"",""labels"":[""TITLE""]},{""start"":0,""end"":10,""text"":""Казань. МС"",""labels"":[""PROJECT""]}]",11.69,"Казань. МС. Убрать возможность удаления маршрутов","2023-08-25T04:45:15.832600Z"
39,"1","2023-08-25T04:45:28.591449Z",708518,"[{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":17,""end"":115,""text"":""Необходимо в \""Цифровом контролере\"" реализовать уведомления об отклонении заданий в АРМ Диспетчере."",""labels"":[""TITLE""]},{""start"":12,""end"":16,""text"":""4387"",""labels"":[""ID""]}]",11.52,"[МОЭСК МС] #4387 Необходимо в ""Цифровом контролере"" реализовать уведомления об отклонении заданий в АРМ Диспетчере.","2023-08-25T04:45:28.591501Z"
40,"1","2023-08-25T04:45:44.365104Z",685154,"[{""start"":22,""end"":70,""text"":""Интеграция актов инструментальной проверки в SAP"",""labels"":[""TITLE""]},{""start"":14,""end"":21,""text"":""1332133"",""labels"":[""ID""]},{""start"":0,""end"":10,""text"":""МРСК Центр"",""labels"":[""PROJECT""]}]",14.578,"МРСК Центр #HD1332133 Интеграция актов инструментальной проверки в SAP","2023-08-25T04:45:44.365157Z"
41,"1","2023-08-25T04:45:56.390116Z",686081,"[{""start"":20,""end"":71,""text"":""В установках отсутствует информация об измерение ПУ"",""labels"":[""TITLE""]},{""start"":12,""end"":19,""text"":""1006136"",""labels"":[""ID""]},{""start"":1,""end"":6,""text"":""МОЭСК"",""labels"":[""PROJECT""]}]",10.851,"[МОЭСК] #HD 1006136 В установках отсутствует информация об измерение ПУ","2023-08-25T04:45:56.390166Z"
42,"1","2023-08-25T04:46:21.889049Z",576117,"[{""start"":15,""end"":21,""text"":""850363"",""labels"":[""ID""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":23,""end"":64,""text"":""Требуется скорректировать номера бланков."",""labels"":[""TITLE""]}]",24.337,"МОЭСК. HD. (SD 850363) Требуется скорректировать номера бланков.","2023-08-25T04:46:21.889105Z"
43,"1","2023-08-25T04:46:46.902235Z",812424,"[{""start"":23,""end"":79,""text"":""В приложение приходит другое задание вместо необходимого"",""labels"":[""TITLE""]},{""start"":1,""end"":11,""text"":""МРСК Центр"",""labels"":[""PROJECT""]},{""start"":14,""end"":22,""text"":""11889829"",""labels"":[""ID""]}]",23.783,"[МРСК Центр] #11889829 В приложение приходит другое задание вместо необходимого","2023-08-25T04:46:46.902287Z"
44,"1","2023-08-25T04:46:58.031474Z",629020,"[{""start"":17,""end"":73,""text"":""При наличии ПУ иметь возможность заменить отдельно ТТ\/ТН"",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":10,""end"":14,""text"":""3795"",""labels"":[""ID""]}]",9.895,"МОЭСК (SD 3795). При наличии ПУ иметь возможность заменить отдельно ТТ/ТН","2023-08-25T04:46:58.031525Z"
45,"1","2023-08-25T04:47:10.077401Z",601574,"[{""start"":18,""end"":75,""text"":""Отсутствует информация об исполнителе в отчете СУ-2 по ИП"",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":10,""end"":16,""text"":""886679"",""labels"":[""ID""]}]",10.692,"МОЭСК (SD 886679) Отсутствует информация об исполнителе в отчете СУ-2 по ИП","2023-08-25T04:47:10.077452Z"
46,"1","2023-08-25T04:47:30.053133Z",705193,"[{""start"":19,""end"":46,""text"":""Коми. v357. МС v4.1093.772"",""labels"":[""TITLE""]},{""start"":13,""end"":18,""text"":""51194"",""labels"":[""ID""]},{""start"":1,""end"":8,""text"":""МРСК СЗ"",""labels"":[""PROJECT""]}]",18.363,"[МРСК СЗ] #HD51194 Коми. v357. МС  v4.1093.772","2023-08-25T04:47:30.053183Z"
47,"1","2023-08-25T04:47:38.801789Z",658910,"[{""start"":0,""end"":11,""text"":""МРСК Центра"",""labels"":[""PROJECT""]},{""start"":13,""end"":35,""text"":""Проблемы синхронизации"",""labels"":[""TITLE""]}]",7.535,"МРСК Центра. Проблемы синхронизации","2023-08-25T04:47:38.801844Z"
48,"1","2023-08-25T04:47:50.817229Z",713587,"[{""start"":22,""end"":74,""text"":""После синхронизации не отображаются фотографии в АРМ"",""labels"":[""TITLE""]},{""start"":1,""end"":11,""text"":""МРСК Центр"",""labels"":[""PROJECT""]},{""start"":14,""end"":21,""text"":""1469574"",""labels"":[""ID""]}]",10.905,"[МРСК Центр] #1469574 После синхронизации не отображаются фотографии в АРМ","2023-08-25T04:47:50.817279Z"
49,"1","2023-08-25T04:48:02.638719Z",742793,"[{""start"":17,""end"":191,""text"":""Необходимо реализовать интерактивную форму (экспресс-отчет или настройку сопоставления) для обработки сведений, полученных в ЦК с применением документа «Приборы вне маршрута»"",""labels"":[""TITLE""]},{""start"":12,""end"":16,""text"":""4669"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]}]",10.621,"[МОЭСК МС] #4669 Необходимо реализовать интерактивную форму (экспресс-отчет или настройку сопоставления) для обработки сведений, полученных в ЦК с применением документа «Приборы вне маршрута»","2023-08-25T04:48:02.638781Z"
50,"1","2023-08-25T04:48:15.233071Z",762590,"[{""start"":12,""end"":19,""text"":""1117525"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":20,""end"":125,""text"":""В АРМ Диспетчера при редактировании акта замены ПУ слетает тарифность, выбранная в «Цифровом контролере»."",""labels"":[""TITLE""]}]",11.366,"[МОЭСК МС] #1117525 В АРМ Диспетчера при редактировании акта замены ПУ слетает тарифность, выбранная в «Цифровом контролере».","2023-08-25T04:48:15.233130Z"
51,"1","2023-08-25T04:48:25.589168Z",691389,"",9.201,"[МРСК СЗ] #HD50492 Не работает тестовый Диспетчер мобильных сервисов","2023-08-25T04:48:25.589224Z"
52,"1","2023-08-25T04:48:35.758633Z",657468,"[{""start"":19,""end"":95,""text"":""Ошибка «данное перемещение не возможно» при передаче пломб исполнителю работ"",""labels"":[""TITLE""]},{""start"":1,""end"":6,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":11,""end"":17,""text"":""969012"",""labels"":[""ID""]}]",8.882,"[МОЭСК] #HD969012  Ошибка «данное перемещение не возможно» при передаче пломб исполнителю работ","2023-08-25T04:48:35.758688Z"
53,"1","2023-08-25T04:48:49.001341Z",775170,"[{""start"":19,""end"":81,""text"":""Консультация Белозерцева А.Ю. (присутствие с 15 по 16.05.2023)"",""labels"":[""TITLE""]},{""start"":0,""end"":17,""text"":""[MC] Россети Урал"",""labels"":[""PROJECT""]}]",12.066,"[MC] Россети Урал. Консультация Белозерцева А.Ю. (присутствие с 15 по 16.05.2023)","2023-08-25T04:48:49.001396Z"
54,"1","2023-08-25T04:49:01.239252Z",750281,"[{""start"":22,""end"":78,""text"":""В КИС Баланс не передан контент из ЦК в случае замены ТТ"",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":14,""end"":21,""text"":""1102583"",""labels"":[""ID""]}]",11.062,"[МОЭСК МС] #HD1102583 В КИС Баланс не передан контент из ЦК в случае замены ТТ","2023-08-25T04:49:01.239302Z"
55,"1","2023-08-25T04:49:09.465374Z",683926,"[{""start"":12,""end"":42,""text"":""Техническая поддержка 10.2022 "",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]}]",7.008,"[МОЭСК МС]. Техническая поддержка 10.2022 ","2023-08-25T04:49:09.465431Z"
56,"1","2023-08-25T04:49:37.536645Z",645316,"[{""start"":18,""end"":97,""text"":""Акты на ограничение, сформированные в ЦК, в КБ импортируются без бита Исполнено"",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":10,""end"":16,""text"":""952987"",""labels"":[""ID""]}]",26.91,"МОЭСК (SD 952987) Акты на ограничение, сформированные в ЦК, в КБ импортируются без бита Исполнено","2023-08-25T04:49:37.536699Z"
57,"1","2023-08-25T04:49:54.783606Z",597341,"[{""start"":18,""end"":81,""text"":""Выгрузить данные из Цифрового контролера в форме таблицы Excel."",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":10,""end"":16,""text"":""880954"",""labels"":[""ID""]}]",16.075,"МОЭСК (SD 880954) Выгрузить данные из Цифрового контролера в форме таблицы Excel.","2023-08-25T04:49:54.783661Z"
58,"1","2023-08-25T04:50:05.160148Z",678421,"[{""start"":20,""end"":70,""text"":""Необходимо изменить исполнителя в маршрутном листе"",""labels"":[""TITLE""]},{""start"":12,""end"":19,""text"":""1170705"",""labels"":[""ID""]},{""start"":0,""end"":8,""text"":""МРСК ЦиП"",""labels"":[""PROJECT""]}]",9.159,"МРСК ЦиП #HD1170705 Необходимо изменить исполнителя в маршрутном листе","2023-08-25T04:50:05.160199Z"
59,"1","2023-08-25T04:50:16.573950Z",544090,"[{""start"":27,""end"":147,""text"":""У контролера Буинского РЭС Сафиулловой Ф.Ф. по ЛС 21001583 в мобильном приложении не активен номер телефона потребителя."",""labels"":[""TITLE""]},{""start"":12,""end"":25,""text"":""СК00-00275324"",""labels"":[""ID""]},{""start"":0,""end"":10,""text"":""Казань. МС"",""labels"":[""PROJECT""]}]",10.174,"Казань. МС. СК00-00275324. У контролера Буинского РЭС Сафиулловой Ф.Ф. по ЛС 21001583 в мобильном приложении не активен номер телефона потребителя.","2023-08-25T04:50:16.574002Z"
60,"1","2023-08-25T04:50:37.128242Z",583104,"[{""start"":0,""end"":17,""text"":""МРСК ЦиП и Центра"",""labels"":[""TITLE""]},{""start"":19,""end"":110,""text"":""В отчёте \""По выполненным работам\"" формируются подтверждённые задания, как не подтверждённые"",""labels"":[""PROJECT""]},{""start"":112,""end"":119,""text"":""1341510"",""labels"":[""ID""]}]",19.37,"МРСК ЦиП и Центра. В отчёте ""По выполненным работам"" формируются подтверждённые задания, как не подтверждённые (1341510).","2023-08-25T04:50:37.128292Z"
61,"1","2023-08-25T04:50:58.439117Z",666630,"[{""start"":22,""end"":72,""text"":""Отчеты по результатам показаний выгружаются пустые"",""labels"":[""TITLE""]},{""start"":0,""end"":20,""text"":""[МС] МРСК ЦиП. НИОКР"",""labels"":[""PROJECT""]}]",20.085,"[МС] МРСК ЦиП. НИОКР. Отчеты по результатам показаний выгружаются пустые","2023-08-25T04:50:58.439168Z"
62,"1","2023-08-25T04:51:11.496671Z",792854,"[{""start"":20,""end"":85,""text"":""В акте съема показаний отсутствует возможность внесения показаний"",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МРСК ЦИП"",""labels"":[""PROJECT""]},{""start"":12,""end"":19,""text"":""1808628"",""labels"":[""ID""]}]",11.832,"[МРСК ЦИП] #1808628 В акте съема показаний отсутствует возможность внесения показаний","2023-08-25T04:51:11.496723Z"
63,"1","2023-08-25T04:51:20.479517Z",754936,"[{""start"":13,""end"":45,""text"":""Переезд решения МС на новые ЦОД."",""labels"":[""TITLE""]},{""start"":1,""end"":11,""text"":""МРСК Центр"",""labels"":[""PROJECT""]}]",7.73,"[МРСК Центр] Переезд решения МС на новые ЦОД.","2023-08-25T04:51:20.479575Z"
64,"1","2023-08-25T04:51:31.328631Z",552500,"[{""start"":20,""end"":95,""text"":""При снятии показаний по ЮЛ в ПАК МК они экспортируются в Омниус за 01 число"",""labels"":[""TITLE""]},{""start"":0,""end"":18,""text"":""МРСК ЦиП и Центра."",""labels"":[""PROJECT""]}]",9.709,"МРСК ЦиП и Центра.  При снятии показаний по ЮЛ в ПАК МК они экспортируются в Омниус за 01 число","2023-08-25T04:51:31.328690Z"
65,"1","2023-08-25T04:51:41.979684Z",538014,"[{""start"":11,""end"":116,""text"":""При выполнении операции \""Забрать из Цифрового контролера\"" в Омнис не попал акт замены ПУ (Внутренний баг)"",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]}]",9.538,"МОЭСК. HD. При выполнении операции ""Забрать из Цифрового контролера"" в Омнис не попал акт замены ПУ (Внутренний баг)","2023-08-25T04:51:41.979736Z"
